"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",84.8668117560318,87.2056598651999,82.7955829552162,83.6817334478992,84.9313258541613,84.5025426970178,83.8381366002591,85.2510031173182,86.6178434950347,85.6465184703881,84.4346060424313,86.6596523467154,86.2965602895202,84.42869927845,85.3187725369109,86.3393967814757,82.1206824627785,86.1932616762153,85.3895260137064,85.199641759715,84.6191230468162,84.80131481002,83.4509233314198,85.1668470630824,83.9799412538353,81.1905022795846,87.5083590661,85.0621994699655,86.8691490737222,85.5975846673805,83.7825677023237,87.1408567095771,85.1769042931956,85.1749717879792,86.647495464102,84.4699666200551,83.2758344384569,82.5729867619648,84.0186421815591,86.1555147304079,84.5750297655583,81.5768387786027,82.8937830558438,85.8243116972445,87.1726420581879,84.6341526168661,84.6162416388237,84.0058402859433,84.6252694319909,83.7198223307747,86.2510423725146,84.0556525915143,84.6139729294596,84.28662652424,85.1719970374449,87.2703153663494,86.7719163413232,85.6783697054361,84.6552705912619,83.7738724752896,85.4291776094522,87.3742962461851,86.2379066566683,82.965868692234,82.2576842090813,85.1026125931219,83.2615474790097,86.6043221046604,83.77220406726,84.4566465284198,84.1869499000824,84.4963605450441,88.1447234159653,86.3017952373366,83.4577621413383,84.9768782746574,85.66113334128,84.6689074521761,84.7617006930162,84.1272210638998,85.3491032436345,88.3631474035651,84.4247067933988,85.9296140731028,85.4797108148701,84.3613566470239,84.322723044195,82.8325096761324,84.9468818411072,85.5794419656094,83.9961984497239,85.3128285326325,85.774661621206,85.0713518606186,83.5278201711981,82.6569319329317,85.5862464333259,83.0994260787601,81.8069632284108,83.4943409694599
"2",134.798999999999,145.996999999999,137.544000000002,137.491999999998,138.719000000005,136.745000000003,137.021000000001,137.054000000004,147.861999999994,136.46699999999,144.003000000012,147.668000000005,134.707999999999,138.664999999994,141.304999999993,133.988000000012,137.239000000001,148.309999999998,147.34599999999,135.923999999999,143.56700000001,141.948999999993,138.24099999998,140.630000000005,139.373999999982,133.820000000007,143.691000000021,144.011999999988,146.882000000012,141.707999999984,127.768,136.759,133.758,129.473999999998,142.287,135.319000000003,134.809000000001,135.019999999997,133.406000000003,140.781999999992,124.105,134.139,135.522999999999,136.251,132.573,142.269,134.224000000002,134.419000000002,129.271000000001,126.433999999994,128.989,138.569,137.010999999999,132.948,134.578999999998,131.563000000002,134.175999999999,137.624000000003,133.699000000001,134.52399999999,131.788,141.257000000012,135.786999999997,129.463000000003,127.349000000002,134.547000000006,144.288,129.782000000007,133.82799999998,132.474999999977,119.953999999911,123.434000000358,112.746000001207,129.048000000417,116.695000000298,121.305999999866,120.127000000328,118.846999999136,117.825000001118,116.603000000119,127.996000001207,122.371000001207,123.85899999924,124.32300000079,123.17699999921,128.151000000536,121.428999999538,124.087999999523,121.737999999896,121.907999999821,116.570000000298,123.740000000224,116.391999999061,114.547000000253,126.441999999806,122.802999999374,120.429999999702,116.476999999955,119.729000000283,124.908999999985
"3",1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
"4",38.5279548193489,38.9556925886457,37.267670723114,36.8769406206621,38.33967387874,39.8987248695989,37.1860731877299,39.0265634851502,39.8635721438795,39.2116211551917,38.0311710046761,40.2110291999809,37.6607811538392,38.0935688241659,39.0715418991265,39.284156405994,37.5540423953873,39.3933466111493,38.2928273758731,38.3410200625514,39.0460914367955,36.6762038789889,37.5536245287584,38.4339501427248,39.2550778846261,37.0484674208723,39.7078652324394,38.2046342864543,38.7527106702181,38.127630101015,37.3610091090497,39.5387606697577,38.9166730574973,38.4005881970388,39.6561364897447,37.1252527499359,38.1689650353213,37.7068918120326,37.547686885896,39.4561045323674,37.3904532609712,36.6481461085526,36.5787720519312,37.9383206362388,40.4390186208361,37.6581415623953,37.1646361102034,38.1125295714459,38.8726759513557,38.0176211411627,39.8204928475351,38.0315470744025,39.0000069055614,38.4793659992296,38.4830546510718,39.6790643429955,38.7094467014263,38.8871566268354,38.319902997149,37.1568798571234,37.723179905587,40.9992879803624,39.2852436510021,37.0960590120681,36.6059623119691,38.7113542253102,37.0131560193247,39.6742595032764,37.5566038749394,38.8254242808094,37.5415199350753,37.7876720453753,40.1281621585252,38.0141832531598,36.0698071137672,38.0931531891846,38.2808422460581,38.27786011096,38.4326048994467,38.86349734306,39.6338392580839,39.418230818344,38.0429775942666,38.608154924368,38.1816125943676,38.1787925420639,37.1251498336571,37.4019954412314,39.3764038944337,37.8653796915121,37.1748111497917,38.8428681222754,38.0447681943166,39.8131194350365,37.8050368322618,36.3752191483566,38.3758801384988,37.3015973991737,37.2740155819155,37.680380477287
"5",215.088,228.333999999999,222.002,221.231999999996,219.765999999996,222.180999999997,219.661999999997,221.982000000004,219.539000000004,222.672000000006,225.697,230.178,224.485000000001,225.291000000012,226.869999999995,223.074000000008,222.024999999994,228.021999999997,227.845000000001,227.266999999993,227.455999999976,226.584000000003,221.253999999986,224.616999999998,226.842000000004,223.658000000025,224.766999999993,227.975000000006,222.535999999993,222.92300000001,212.405,213.874,217.43,212.409,217.684000000001,215.987000000001,214.006999999998,215.156999999999,210.495000000003,214.592000000004,206.816,218.649,214.6,213.314000000002,213.766,218.339999999997,215.435999999994,217.925000000003,212.18,213.656000000003,208.572,212.208000000001,217.438,216.314999999999,211.491000000002,217.066999999995,213.811999999998,214.966,210.950000000004,213.490000000005,210.944999999992,223.822999999989,212.921999999991,208.721000000005,209.751000000004,212.210999999996,218.919999999998,208.59599999999,215.195000000007,217.25900000002,195.507999999449,199.179999999702,199.780999999493,202.940999999642,198.953999999911,196.054999999702,193.741000000387,199.098999999464,195.410000000149,201.611000001431,204.434999998659,199.283999999985,205.037000000477,200.895999999717,198.123999999836,204.809000000358,200.63599999994,200.83400000073,197.378000000492,199.44800000079,198.13000000082,200.206000000238,200.980000000447,195.69800000079,205.535000000149,199.530000001192,199.110999999568,198.126000000164,199.883999999613,202.281999999657
"6",3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840
"7",169.603756545411,192.50890775963,181.507197889098,189.488667375702,179.252112187657,174.880363990857,174.953789784223,191.049826725553,178.170284416048,174.806704954315,178.306892593987,185.217690893294,186.042852031957,181.233839386289,187.601815496811,181.143853979348,169.800492168092,185.594134749763,188.432839559637,181.533933317591,170.096532843519,192.836877653496,184.02694867531,182.300180717711,181.241318013934,174.044378709965,184.86414820144,186.703449177964,175.784335716658,179.669856645455,185.555994674557,169.442199349315,189.680287357332,174.667222973571,178.162784594646,183.620818080478,181.032892723867,178.595422195007,189.86866536295,183.337974427963,169.865623435739,175.687386924182,197.361014420687,200.762250361169,194.199050402028,178.609912774214,178.471168416498,182.964941044595,170.455872586658,179.822647296745,180.428004186813,160.22307564768,174.818165044787,177.109325400654,178.26301894606,196.269109517045,170.790075818903,197.076181527016,171.617031810651,166.068852337757,186.278285004075,180.714978550929,174.292929695789,181.984178280317,174.083604105852,172.814999877469,195.834861086452,183.576495637139,172.75379374854,186.757428367163,194.808325814042,174.542981029134,173.508294221374,195.991710120618,181.293669990228,170.400235465783,175.12613388769,169.620543140211,173.219077067302,182.59090006603,189.203084317598,191.915950482646,182.078379639899,171.60839810413,172.803851091978,185.175105312266,186.509828436197,178.162063619642,183.362121557046,172.15331835724,181.204043313197,187.004179894863,174.900647011029,184.176870304324,198.029289100841,182.358169286116,178.969109766194,187.420254584227,187.913380515134,179.729237212049
"8",435.788000000001,436.043999999998,436.006000000002,435.967000000005,435.777999999999,435.810000000005,449.079000000006,436.132000000005,440.856999999997,436.124999999993,436.873,435.612000000001,435.786,437.539999999987,435.947000000008,436.053000000022,435.615999999988,435.504999999983,435.809000000016,435.678999999982,435.828000000016,435.796999999999,435.708000000021,435.864999999998,435.801000000014,435.742999999995,438.108000000015,435.92100000001,435.281999999985,435.593000000001,435.318000000001,436.375,435.873,435.615999999999,435.693999999996,435.367999999995,439.108000000001,435.595999999998,436.385000000002,437.393999999993,436.808,435.840000000001,436.077000000002,435.786,436.248999999997,436.849000000002,435.885999999999,436.136000000006,435.782,435.363000000005,437.565,452.186,436.484000000001,437.706999999999,436.517,436.752999999997,435.798999999999,436.591000000001,435.936000000009,436.39299999999,435.923999999992,436.273999999998,436.928999999997,437.913999999997,435.647999999994,435.667000000009,436.450999999994,436.333999999981,435.785000000011,436.038000000008,436.701999999911,437.149000000536,450.792999999925,437.780999999821,436.040999999598,436.23199999924,436.294000000089,449.932000000358,450.550000001073,435.962999999851,435.607999999404,448.873,435.673000000745,442.667999999925,436.598999999791,437.271000000045,436.824999999583,450.712999999851,436.289999999434,440.91399999927,436.175000001073,435.870999999672,436.075999999747,436.021000000045,435.570000000626,437.419000000089,436.488000000224,435.76400000076,436.049000000909,435.964000000015
"9",189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
"10",71.3474554081815,69.7339404563053,67.7299573247807,68.4849832398331,69.1147476004081,74.5634899771489,70.1063330449835,74.3453468958765,71.9973884379864,70.6056903987478,70.1440851908802,70.6157723477464,68.7497188346673,70.316629495226,68.8330557640887,71.7257495927803,65.3445101687297,74.0847571025612,71.4173953666429,72.6753312280705,67.6189410790496,70.4967109882019,70.4308212181296,69.9415180657106,71.0386005192061,65.0689928152964,71.7630387459316,69.1343071090637,68.6140578156836,69.2772107061172,69.6538836055588,73.6415307911134,74.1407537342081,71.6010658641659,68.1356051746921,68.7567854464311,70.3198948916286,70.134397900271,69.6504361134409,71.522473009079,66.0592881118648,71.0937511533683,69.8240572169671,70.4658970071242,74.4769955701914,67.9138007884413,72.2684488685095,69.8382405333523,74.2582558548174,68.7665268162944,69.9706557912971,69.2255603917745,70.0966021177275,69.9815625642928,68.3178553433184,80.364456330126,69.9464476873073,70.6917549535684,68.8164095047846,67.6951929362193,72.5613502064701,73.8450878783649,70.7749046879352,70.5264332685789,65.8658579472371,68.8734380423941,69.5615965355481,74.9359320051838,69.3136347913256,68.8826277797325,72.2661454996858,70.6383593486812,74.6224893235653,68.487287355503,68.1130498528058,69.5671107998541,69.4022258417824,68.1947025462572,71.2041056880448,67.9481821411415,66.8844111818506,69.3925941333822,68.1790069665621,72.0319765718206,69.120272294838,69.8786688752286,67.0478373108188,66.7166937757182,71.7455211156204,68.6238195249111,67.1968465434892,70.0894480657097,67.6089552063421,70.3197848822781,69.5194496715178,68.2838768400854,68.8288092363534,66.1123527921512,64.9755993939421,68.4606602577012
