"","Edist","RMSPE","Method","nu","k"
"1",0.00111934557422163,0.249488909920482,"SP","0.5",36
"2",0.000474503566415464,0.17507752228537,"SP","0.5",64
"3",0.000246247253202212,0.139249103355651,"SP","0.5",100
"4",0.000147304295800037,0.123414384284984,"SP","0.5",144
"5",9.60864724558164e-05,0.118954065080042,"SP","0.5",196
"6",6.12283598829555e-05,0.121089969930711,"SP","0.5",289
"7",4.12848240249108e-05,0.127399770479842,"SP","0.5",400
"8",3.43998163643011e-05,0.131545592693532,"SP","0.5",484
"9",0.00570681184428195,0.320120971339745,"Grid","0.5",36
"10",0.0031767991821796,0.229511850940029,"Grid","0.5",64
"11",0.00204742656056196,0.179651855117091,"Grid","0.5",100
"12",0.00143899054468251,0.1523438444498,"Grid","0.5",144
"13",0.00108065460318724,0.13925244697883,"Grid","0.5",196
"14",0.000757555787637458,0.133243323257495,"Grid","0.5",289
"15",0.000572587935633858,0.134893069969716,"Grid","0.5",400
"16",0.000486558339290317,0.137555949685419,"Grid","0.5",484
"17",0.0141211751017953,0.350153063031899,"Rand","0.5",36
"18",0.0076123082324567,0.241146586199552,"Rand","0.5",64
"19",0.00459842679157185,0.181063939445293,"Rand","0.5",100
"20",0.00340109471312976,0.15270349131529,"Rand","0.5",144
"21",0.00228726597610615,0.137260091405039,"Rand","0.5",196
"22",0.00162191767794313,0.129282413411455,"Rand","0.5",289
"23",0.0011493614501246,0.127922554797383,"Rand","0.5",400
"24",0.000955148169434966,0.129382989454532,"Rand","0.5",484
"25",0.00835631529141416,0.331886890969691,"DPP","0.5",36
"26",0.00437248720278655,0.221134190814556,"DPP","0.5",64
"27",0.00280803128472842,0.168455622522466,"DPP","0.5",100
"28",0.00205106610474428,0.141935744214568,"DPP","0.5",144
"29",0.0013061127844121,0.130201708396896,"DPP","0.5",196
"30",0.000911972657062512,0,"DPP","0.5",289
"31",0.000642895614685257,0,"DPP","0.5",400
"32",0.000555210883314156,0,"DPP","0.5",484
"33",0.00111934557422163,0.226804878277117,"SP","1.0",36
"34",0.000474503566415464,0.158113514060247,"SP","1.0",64
"35",0.000246247253202212,0.127335435835884,"SP","1.0",100
"36",0.000147304295800037,0.113839136428133,"SP","1.0",144
"37",9.60864724558164e-05,0.109791084171141,"SP","1.0",196
