"","Edist","RMSPE","Method","theta","k"
"1",0.00111951624785511,0.217410592571695,"SP","TP",36
"2",0.000472120222509567,0.151766489726046,"SP","TP",64
"3",0.000246124254213381,0.122582330238647,"SP","TP",100
"4",0.000147113110553272,0.109501354185824,"SP","TP",144
"5",9.57040097198381e-05,0.104536532704786,"SP","TP",196
"6",5.94771045456355e-05,0.101834973357321,"SP","TP",289
"7",4.103228931157e-05,0.100976697719028,"SP","TP",400
"8",3.4294475133142e-05,0.100845986767169,"SP","TP",484
"9",0.0141211751017953,0.256485939643375,"Grid","TP",36
"10",0.0076123082324567,0.175346372707977,"Grid","TP",64
"11",0.00459842679157185,0.137853969715813,"Grid","TP",100
"12",0.00340109471312976,0.119777212361908,"Grid","TP",144
"13",0.00228726597610615,0.11066266914952,"Grid","TP",196
"14",0.00162191767794313,0.104917365321403,"Grid","TP",289
"15",0.0011493614501246,0.102474466082185,"Grid","TP",400
"16",0.000955148169434966,0.101645519678578,"Grid","TP",484
"17",0.00570681184428195,0.239786439240501,"Rand","TP",36
"18",0.0031767991821796,0.16879841034419,"Rand","TP",64
"19",0.00204742656056196,0.13353462329628,"Rand","TP",100
"20",0.00143899054468251,0.116354850816852,"Rand","TP",144
"21",0.00108065460318724,0.108543418516763,"Rand","TP",196
"22",0.000757555787637458,0.103559106265267,"Rand","TP",289
"23",0.000572587935633858,0.101795361662327,"Rand","TP",400
"24",0.000486558339290317,0.101286080648536,"Rand","TP",484
"25",0.00835631529141416,0.238288373405626,"DPP","TP",36
"26",0.00437248720278655,0.162326642068392,"DPP","TP",64
"27",0.00280803128472842,0.128844305402982,"DPP","TP",100
"28",0.00205106610474428,0.113106754723754,"DPP","TP",144
"29",0.0013061127844121,0.106802798334092,"DPP","TP",196
"30",0.000911972657062512,0.102881894070388,"DPP","TP",289
"31",0.000642895614685257,0.101385392470244,"DPP","TP",400
"32",0.000555210883314156,0.10102519016468,"DPP","TP",484
"33",0.00111951624785511,0.218959226893781,"SP","CP1",36
"34",0.000472120222509567,0.15248291790148,"SP","CP1",64
"35",0.000246124254213381,0.122904673888903,"SP","CP1",100
"36",0.000147113110553272,0.109693647743694,"SP","CP1",144
"37",9.57040097198381e-05,0.104660896073042,"SP","CP1",196
"38",5.94771045456355e-05,0.101895573111781,"SP","CP1",289
"39",4.103228931157e-05,0.101012242359798,"SP","CP1",400
"40",3.4294475133142e-05,0.100874398685756,"SP","CP1",484
"41",0.0141211751017953,0.263622461037342,"Grid","CP1",36
"42",0.0076123082324567,0.17824911099584,"Grid","CP1",64
"43",0.00459842679157185,0.139096932295494,"Grid","CP1",100
"44",0.00340109471312976,0.120557505412455,"Grid","CP1",144
"45",0.00228726597610615,0.1111124040602,"Grid","CP1",196
"46",0.00162191767794313,0.105160311523335,"Grid","CP1",289
"47",0.0011493614501246,0.102590860194447,"Grid","CP1",400
"48",0.000955148169434966,0.101721985453213,"Grid","CP1",484
"49",0.00570681184428195,0.246210591188215,"Rand","CP1",36
"50",0.0031767991821796,0.171994511511708,"Rand","CP1",64
"51",0.00204742656056196,0.135213005216489,"Rand","CP1",100
"52",0.00143899054468251,0.117259243695556,"Rand","CP1",144
"53",0.00108065460318724,0.109052896195694,"Rand","CP1",196
"54",0.000757555787637458,0.103811020162877,"Rand","CP1",289
"55",0.000572587935633858,0.101927695933001,"Rand","CP1",400
"56",0.000486558339290317,0.101381916759085,"Rand","CP1",484
"57",0.00835631529141416,0.23878983590232,"DPP","CP1",36
