"","Edist","RMSPE","Method","k"
"1",0.00105525770701806,0.144252480394508,"SP",36
"2",0.000447505621171793,0.103480772886487,"SP",64
"3",0.000232620155122192,0.088748279914164,"SP",100
"4",0.000155434866568469,0.0841323237890469,"SP",144
"5",9.01192023997338e-05,0.0824383084567558,"SP",196
"6",0.000176875904027154,0.0819306774604352,"SP",289
"7",3.57255189336031e-05,0.0815675289985786,"SP",400
"8",0.00042398159033028,0.0819008201202604,"SP",484
"9",0.0140472374524467,0.172269591633981,"Rand",36
"10",0.00777819157588597,0.120393242349848,"Rand",64
"11",0.0048425707476491,0.0977999159873913,"Rand",100
"12",0.00346230649191046,0.0890850227302433,"Rand",144
"13",0.0024167475262249,0.0849599899340599,"Rand",196
"14",0.00180450302955169,0.0826782700664584,"Rand",289
"15",0.00111855960614401,0.0818975950027318,"Rand",400
"16",0.000865498390144093,0.0817186030765081,"Rand",484
"17",0.0302822566972046,0.194967557405439,"SPU",36
"18",0.0296450753646352,0.136859401967367,"SPU",64
"19",0.0294455214109574,0.108696561085379,"SPU",100
"20",0.0293466201747497,0.0940936651412954,"SPU",144
"21",0.0292602855948692,0.0869422680143275,"SPU",196
"22",0.0293611765512379,0.0846154414477334,"SPU",289
"23",0.0292152417043571,0.0822284706228276,"SPU",400
"24",0.029606149281814,0.0842969591811783,"SPU",484
"25",0.0348615432639027,0.225322498992334,"Grid",36
"26",0.0323287349948265,0.156939550720373,"Grid",64
"27",0.0312499760014333,0.120777369132804,"Grid",100
"28",0.0306499990308783,0.102801820125892,"Grid",144
"29",0.0302703735153009,0.0923239661953425,"Grid",196
"30",0.029862657622759,0.0857301500084906,"Grid",289
"31",0.0297293929351089,0.0833029909510938,"Grid",400
"32",0.0296702458762158,0.0825466224356657,"Grid",484
