"","Ga","Method"
"1",1.6519003730402,"SP(0.5)"
"2",2.01032575637262,"SP(0.5)"
"3",1.90118680113807,"SP(0.5)"
"4",1.70712019322252,"SP(0.5)"
"5",1.82901223322694,"SP(0.5)"
"6",1.68655551834704,"SP(0.5)"
"7",1.66323583146369,"SP(0.5)"
"8",1.82143659645938,"SP(0.5)"
"9",1.69862602053827,"SP(0.5)"
"10",1.54263232139567,"SP(0.5)"
"11",1.86526105760364,"SP(0.5)"
"12",2.00760213114811,"SP(0.5)"
"13",1.82669974497973,"SP(0.5)"
"14",2.11837379658916,"SP(0.5)"
"15",1.85152762382734,"SP(0.5)"
"16",1.7213030134915,"SP(0.5)"
"17",2.10875475122424,"SP(0.5)"
"18",1.82098858548691,"SP(0.5)"
"19",1.74826507346675,"SP(0.5)"
"20",1.73129176805153,"SP(0.5)"
"21",1.51165836584776,"SP(0.5)"
"22",1.75306912162101,"SP(0.5)"
"23",1.55575412106192,"SP(0.5)"
"24",1.71603702187965,"SP(0.5)"
"25",1.78734205112621,"SP(0.5)"
"26",1.83823701432755,"SP(0.5)"
"27",1.65787376256052,"SP(0.5)"
"28",1.72481040641401,"SP(0.5)"
"29",1.79994262685864,"SP(0.5)"
"30",1.91948718107578,"SP(0.5)"
"31",1.84525246037743,"SP(0.5)"
"32",1.68040948462751,"SP(0.5)"
"33",1.99509178087623,"SP(0.5)"
"34",1.8476452515415,"SP(0.5)"
"35",1.97853932714727,"SP(0.5)"
"36",2.0275566323899,"SP(0.5)"
"37",1.68306444592864,"SP(0.5)"
"38",1.66348839574741,"SP(0.5)"
"39",1.86783518165162,"SP(0.5)"
"40",1.90493855355672,"SP(0.5)"
"41",1.7552805080541,"SP(0.5)"
"42",1.55100705043563,"SP(0.5)"
"43",1.64445153107852,"SP(0.5)"
"44",1.56198504780979,"SP(0.5)"
"45",1.94773941009568,"SP(0.5)"
"46",1.64171933345501,"SP(0.5)"
"47",1.84334076831878,"SP(0.5)"
"48",1.79736755984266,"SP(0.5)"
"49",1.9576978829176,"SP(0.5)"
"50",1.87376745733545,"SP(0.5)"
"51",1.84365544306611,"SP(0.5)"
"52",1.71250310453886,"SP(0.5)"
"53",1.88011983881732,"SP(0.5)"
"54",1.71835261925912,"SP(0.5)"
"55",1.84728887286155,"SP(0.5)"
"56",1.70425011498558,"SP(0.5)"
"57",1.53874910329031,"SP(0.5)"
"58",1.78893899304369,"SP(0.5)"
"59",1.75213877469317,"SP(0.5)"
"60",1.69380680461844,"SP(0.5)"
"61",1.75665115982519,"SP(0.5)"
"62",1.66435975304472,"SP(0.5)"
"63",1.62625337584758,"SP(0.5)"
"64",1.86701052349366,"SP(0.5)"
"65",1.72046772149061,"SP(0.5)"
"66",1.87182840684895,"SP(0.5)"
"67",1.71240768269788,"SP(0.5)"
"68",1.65707875141609,"SP(0.5)"
"69",1.81958149849173,"SP(0.5)"
"70",1.55475522799842,"SP(0.5)"
"71",1.89079133928684,"SP(0.5)"
