"","MSPE","MSPE1","n","Method"
"1",-3.54294336026368,-3.5701478679906,1000,"SP(1.5)"
"2",-3.84471826033399,-3.82883460696361,1500,"SP(1.5)"
"3",-4.01512049781511,-4.01237576918785,2000,"SP(1.5)"
"4",-4.14480096002157,-4.15474135492631,2500,"SP(1.5)"
"5",-4.27803521608,-4.27106250816086,3000,"SP(1.5)"
"6",-4.37919919660679,-4.36941064189065,3500,"SP(1.5)"
"7",-4.44872252767583,-4.45460367038509,4000,"SP(1.5)"
"8",-4.52184189022071,-4.52974924713387,4500,"SP(1.5)"
"9",-4.59255968316067,-4.59696925612356,5000,"SP(1.5)"
"10",-4.65284942953157,-4.65777715083872,5500,"SP(1.5)"
"11",-4.7002563364889,-4.7132904093581,6000,"SP(1.5)"
"12",-4.75200820325264,-4.76435765685382,6500,"SP(1.5)"
"13",-4.80909786647334,-4.81163854308789,7000,"SP(1.5)"
"14",-3.29206597741143,-3.33661150412537,1000,"SP(0.5)"
"15",-3.52581981106964,-3.50974510528756,1500,"SP(0.5)"
"16",-3.64530269278373,-3.63258535022447,2000,"SP(0.5)"
"17",-3.73113966123545,-3.72786764663564,2500,"SP(0.5)"
"18",-3.82705814370849,-3.80571895138665,3000,"SP(0.5)"
"19",-3.89355416194304,-3.87154129167289,3500,"SP(0.5)"
"20",-3.93955307324513,-3.92855919632357,4000,"SP(0.5)"
"21",-3.97631443016765,-3.97885255254884,4500,"SP(0.5)"
"22",-4.02076547853183,-4.02384149273473,5000,"SP(0.5)"
"23",-4.0628230076751,-4.06453893951118,5500,"SP(0.5)"
"24",-4.08919337571948,-4.10169279748575,6000,"SP(0.5)"
"25",-4.11697360491976,-4.13587103366235,6500,"SP(0.5)"
"26",-4.15057446275909,-4.16751513777199,7000,"SP(0.5)"
"27",-3.44929185954172,-3.47934295623,1000,"SP(1.0)"
"28",-3.71934257404075,-3.70640341677057,1500,"SP(1.0)"
"29",-3.87116956821338,-3.86750537734357,2000,"SP(1.0)"
"30",-3.98343551953513,-3.99246576607952,2500,"SP(1.0)"
"31",-4.10486372178878,-4.09456583788414,3000,"SP(1.0)"
"32",-4.19225951737362,-4.1808902185874,3500,"SP(1.0)"
"33",-4.25928590896957,-4.25566779845714,4000,"SP(1.0)"
"34",-4.31083531698908,-4.32162629842471,4500,"SP(1.0)"
"35",-4.37594837793024,-4.38062818719309,5000,"SP(1.0)"
"36",-4.4320709302146,-4.43400188788351,5500,"SP(1.0)"
"37",-4.46970098982011,-4.48272825899771,6000,"SP(1.0)"
"38",-4.51130808702379,-4.52755217529489,6500,"SP(1.0)"
"39",-4.5606632458109,-4.56905263970097,7000,"SP(1.0)"
"40",-3.4276224862383,-3.44822132764659,1000,"SP(2.0)"
"41",-3.70414526920774,-3.68460748567365,1500,"SP(2.0)"
"42",-3.85891187172203,-3.85232613391303,2000,"SP(2.0)"
"43",-3.98286520855114,-3.98241882432922,2500,"SP(2.0)"
"44",-4.10153222309272,-4.08871229194009,3000,"SP(2.0)"
"45",-4.20288234094868,-4.17858213827939,3500,"SP(2.0)"
"46",-4.25251198509509,-4.25643094017948,4000,"SP(2.0)"
"47",-4.32697228871668,-4.32509844996715,4500,"SP(2.0)"
"48",-4.38961783899616,-4.38652363059567,5000,"SP(2.0)"
"49",-4.43962091309319,-4.44208946542159,5500,"SP(2.0)"
"50",-4.48494106841927,-4.49281709820654,6000,"SP(2.0)"
"51",-4.53830992536674,-4.53948199678021,6500,"SP(2.0)"
"52",-4.58706422450567,-4.58268694454583,7000,"SP(2.0)"
"53",-2.94519230420041,-2.95782219779059,1000,"SP(3.0)"
"54",-3.13852040599044,-3.13046924082305,1500,"SP(3.0)"
"55",-3.25212648673289,-3.25296426727302,2000,"SP(3.0)"
"56",-3.3376983550164,-3.34797879142261,2500,"SP(3.0)"
"57",-3.43154607848153,-3.42561131030548,3000,"SP(3.0)"
"58",-3.52463215277692,-3.49124866977592,3500,"SP(3.0)"
"59",-3.53581352138936,-3.54810633675544,4000,"SP(3.0)"
"60",-3.60099023553013,-3.59825835333793,4500,"SP(3.0)"
"61",-3.64519497525594,-3.64312086090503,5000,"SP(3.0)"
"62",-3.68314534167233,-3.68370393546572,5500,"SP(3.0)"
"63",-3.70611024525914,-3.7207533797879,6000,"SP(3.0)"
"64",-3.75904511115546,-3.75483556471529,6500,"SP(3.0)"
"65",-3.77719699473951,-3.78639073925835,7000,"SP(3.0)"
"66",-3.50920616084255,-3.53504093133839,1000,"Rand(1.5)"
"67",-3.81693277021136,-3.7985932516087,1500,"Rand(1.5)"
"68",-3.99194553470374,-3.98558659870235,2000,"Rand(1.5)"
"69",-4.12558341584399,-4.13062990705659,2500,"Rand(1.5)"
"70",-4.26032122067923,-4.24913891897266,3000,"Rand(1.5)"
"71",-4.36162215291406,-4.34933686086038,3500,"Rand(1.5)"
"72",-4.43536976236936,-4.43613226606632,4000,"Rand(1.5)"
"73",-4.50927294646572,-4.51269123924297,4500,"Rand(1.5)"
"74",-4.57960378771828,-4.58117557442055,5000,"Rand(1.5)"
"75",-4.64192955250048,-4.64312719129337,5500,"Rand(1.5)"
"76",-4.68979352239214,-4.69968458633662,6000,"Rand(1.5)"
"77",-4.74162367633981,-4.75171234632442,6500,"Rand(1.5)"
"78",-4.79991011315892,-4.79988252822434,7000,"Rand(1.5)"
"79",-3.20874136173783,-3.25632417116496,1000,"Rand(0.5)"
"80",-3.4803741919295,-3.46148951586769,1500,"Rand(0.5)"
"81",-3.61838544432449,-3.60705664452829,2000,"Rand(0.5)"
"82",-3.72840866274469,-3.71996728149328,2500,"Rand(0.5)"
"83",-3.84495091021921,-3.81222198923102,3000,"Rand(0.5)"
"84",-3.91860442593964,-3.89022223322362,3500,"Rand(0.5)"
"85",-3.97755216199002,-3.95778911789163,4000,"Rand(0.5)"
"86",-4.01868139449378,-4.01738733393376,4500,"Rand(0.5)"
"87",-4.07247048228386,-4.07069975485662,5000,"Rand(0.5)"
"88",-4.11887420364803,-4.1189267058376,5500,"Rand(0.5)"
"89",-4.14522074831973,-4.16295446259436,6000,"Rand(0.5)"
"90",-4.18471527740511,-4.20345607267717,6500,"Rand(0.5)"
"91",-4.22493157589145,-4.24095470658695,7000,"Rand(0.5)"
"92",-3.42196894020755,-3.45148336987844,1000,"Rand(1.0)"
"93",-3.71001882778438,-3.69111324877037,1500,"Rand(1.0)"
"94",-3.87061581391472,-3.86113335358937,2000,"Rand(1.0)"
"95",-3.99240179853127,-3.99301119241607,2500,"Rand(1.0)"
"96",-4.12188577918546,-4.1007632324813,3000,"Rand(1.0)"
"97",-4.20967720591128,-4.1918662842592,3500,"Rand(1.0)"
"98",-4.28396260702441,-4.2707833373003,4000,"Rand(1.0)"
"99",-4.33714720709882,-4.34039311137322,4500,"Rand(1.0)"
"100",-4.40378606114189,-4.402661176127,5000,"Rand(1.0)"
"101",-4.463495185729,-4.45898949239135,5500,"Rand(1.0)"
"102",-4.50058436527437,-4.51041321619222,6000,"Rand(1.0)"
"103",-4.54528933470613,-4.55771845642728,6500,"Rand(1.0)"
"104",-4.59822973321544,-4.60151626797013,7000,"Rand(1.0)"
"105",-3.40456533258625,-3.42739112515742,1000,"Rand(2.0)"
"106",-3.68516189439217,-3.66742646915746,1500,"Rand(2.0)"
"107",-3.84392792096887,-3.83773425604891,2000,"Rand(2.0)"
"108",-3.97013019789691,-3.96983523842693,2500,"Rand(2.0)"
"109",-4.08994190526957,-4.07776960004895,3000,"Rand(2.0)"
"110",-4.192101660671,-4.16902680250668,3500,"Rand(2.0)"
"111",-4.2442150149966,-4.2480773869404,4000,"Rand(2.0)"
"112",-4.31899121984335,-4.31780494404898,4500,"Rand(2.0)"
"113",-4.38157484834443,-4.38017836931841,5000,"Rand(2.0)"
"114",-4.43256372523211,-4.43660199576257,5500,"Rand(2.0)"
"115",-4.47866186580082,-4.48811273094043,6000,"Rand(2.0)"
"116",-4.53216087572137,-4.53549801388317,6500,"Rand(2.0)"
"117",-4.58120520994541,-4.57936993339817,7000,"Rand(2.0)"
"118",-2.94194697193503,-2.9550158225228,1000,"Rand(3.0)"
