"","Ga","Method"
"1",1.84478324276567,"SP(0.5)"
"2",1.33221362348683,"SP(0.5)"
"3",1.44026097856706,"SP(0.5)"
"4",1.66315208960259,"SP(0.5)"
"5",1.5445494146933,"SP(0.5)"
"6",1.73255155147521,"SP(0.5)"
"7",2.15917763020775,"SP(0.5)"
"8",1.48450296069938,"SP(0.5)"
"9",1.46328397673122,"SP(0.5)"
"10",1.71509895744843,"SP(0.5)"
"11",1.72251789081316,"SP(0.5)"
"12",1.20361683767072,"SP(0.5)"
"13",1.53516149221601,"SP(0.5)"
"14",1.373695112498,"SP(0.5)"
"15",1.68280704066882,"SP(0.5)"
"16",1.1477285812005,"SP(0.5)"
"17",1.48815962924991,"SP(0.5)"
"18",1.4797105441393,"SP(0.5)"
"19",1.67956346418234,"SP(0.5)"
"20",1.70201565038806,"SP(0.5)"
"21",1.53976958394758,"SP(0.5)"
"22",1.71752840461439,"SP(0.5)"
"23",1.6030962154902,"SP(0.5)"
"24",1.74596236724362,"SP(0.5)"
"25",1.57028867220349,"SP(0.5)"
"26",1.33055038151566,"SP(0.5)"
"27",1.49173437013718,"SP(0.5)"
"28",1.90711118510252,"SP(0.5)"
"29",1.50354062064851,"SP(0.5)"
"30",1.66172759589984,"SP(0.5)"
"31",1.50546689452589,"SP(0.5)"
"32",1.39471014090553,"SP(0.5)"
"33",1.52161609238529,"SP(0.5)"
"34",1.36618316807777,"SP(0.5)"
"35",1.35777134759411,"SP(0.5)"
"36",1.355683192733,"SP(0.5)"
"37",1.26716496098911,"SP(0.5)"
"38",1.86538779366273,"SP(0.5)"
"39",1.40502578956933,"SP(0.5)"
"40",1.57465885646259,"SP(0.5)"
"41",1.63581418214753,"SP(0.5)"
"42",1.86519434707717,"SP(0.5)"
"43",1.46689187174742,"SP(0.5)"
"44",1.9655788068182,"SP(0.5)"
"45",1.30103754784725,"SP(0.5)"
"46",1.71552163752568,"SP(0.5)"
"47",1.5056055747504,"SP(0.5)"
"48",1.54852405860721,"SP(0.5)"
"49",1.4292149426382,"SP(0.5)"
"50",1.40013909056186,"SP(0.5)"
"51",1.56866556168512,"SP(0.5)"
"52",1.90675949786491,"SP(0.5)"
"53",1.7644124634726,"SP(0.5)"
"54",1.48270047598657,"SP(0.5)"
"55",1.75149353755609,"SP(0.5)"
"56",1.71083982803218,"SP(0.5)"
"57",1.5879902426077,"SP(0.5)"
"58",1.63299927819392,"SP(0.5)"
"59",1.67423053448811,"SP(0.5)"
"60",1.69125922349843,"SP(0.5)"
"61",1.54131107128295,"SP(0.5)"
"62",1.40733647866199,"SP(0.5)"
"63",1.78608897006729,"SP(0.5)"
"64",1.56270492737333,"SP(0.5)"
"65",1.46213091871933,"SP(0.5)"
"66",1.52911944914832,"SP(0.5)"
"67",1.50389072007797,"SP(0.5)"
"68",1.83858168375295,"SP(0.5)"
"69",1.58980450893318,"SP(0.5)"
"70",1.57509978467807,"SP(0.5)"
"71",1.60889453397191,"SP(0.5)"
