"","MSPE","MSPE1","n","Method"
"1",-4.89108009400022,-4.89768202165597,4000,"SP(1.5)"
"2",-4.96754889972461,-4.97008219370772,4500,"SP(1.5)"
"3",-5.03563485340095,-5.03484635451048,5000,"SP(1.5)"
"4",-5.09789092227916,-5.09343266431019,5500,"SP(1.5)"
"5",-5.13957402099408,-5.14691777470323,6000,"SP(1.5)"
"6",-5.19956152181062,-5.19611930678089,6500,"SP(1.5)"
"7",-5.25045351883218,-5.24167281034305,7000,"SP(1.5)"
"8",-5.30211201011009,-5.28408210755774,7500,"SP(1.5)"
"9",-5.32636537103772,-5.32375335569875,8000,"SP(1.5)"
"10",-5.35774805775666,-5.36101876514945,8500,"SP(1.5)"
"11",-5.38557690259896,-5.39615352775049,9000,"SP(1.5)"
"12",-5.42691474670063,-5.42938816209756,9500,"SP(1.5)"
"13",-5.45560581357291,-5.46091768855325,10000,"SP(1.5)"
"14",-4.36648108695301,-4.36687254711826,4000,"SP(0.5)"
"15",-4.39897414920547,-4.40921907204868,4500,"SP(0.5)"
"16",-4.44480286891897,-4.44709932940597,5000,"SP(0.5)"
"17",-4.48953387883086,-4.48136619035682,5500,"SP(0.5)"
"18",-4.51086218475119,-4.51264938342777,6000,"SP(0.5)"
"19",-4.54179371417273,-4.54142713140401,6500,"SP(0.5)"
"20",-4.57939855878159,-4.56807116441659,7000,"SP(0.5)"
"21",-4.60406079149645,-4.59287616571548,7500,"SP(0.5)"
"22",-4.61724312995721,-4.61607969480687,8000,"SP(0.5)"
"23",-4.63570897130142,-4.63787606000361,8500,"SP(0.5)"
"24",-4.64913594365538,-4.65842621973729,9000,"SP(0.5)"
"25",-4.67429344799128,-4.67786500326568,9500,"SP(0.5)"
"26",-4.69384571278605,-4.69630647709458,10000,"SP(0.5)"
"27",-4.72400532812389,-4.72581022944398,4000,"SP(1.0)"
"28",-4.78049983196003,-4.78828817215699,4500,"SP(1.0)"
"29",-4.84283396479947,-4.8441765963668,5000,"SP(1.0)"
"30",-4.90227054313931,-4.89473382577252,5500,"SP(1.0)"
"31",-4.9368210049538,-4.94088896005517,6000,"SP(1.0)"
"32",-4.98364129436753,-4.98334756775494,6500,"SP(1.0)"
"33",-5.03257843738786,-5.0226580984523,7000,"SP(1.0)"
"34",-5.07256938709224,-5.059255326978,7500,"SP(1.0)"
"35",-5.09642107700039,-5.09348974795336,8000,"SP(1.0)"
"36",-5.11995606642592,-5.12564804331175,8500,"SP(1.0)"
"37",-5.14864486912257,-5.15596769066638,9000,"SP(1.0)"
"38",-5.1831501567474,-5.18464761672153,9500,"SP(1.0)"
"39",-5.20737602938949,-5.21185611487619,10000,"SP(1.0)"
"40",-4.74386880604772,-4.75373956528664,4000,"SP(2.0)"
"41",-4.81986191632855,-4.82094728946648,4500,"SP(2.0)"
"42",-4.88554793344769,-4.88106664737161,5000,"SP(2.0)"
"43",-4.94120130986464,-4.93545122185743,5500,"SP(2.0)"
"44",-4.97617131324878,-4.9851004484429,6000,"SP(2.0)"
"45",-5.03952648252334,-5.0307733094789,6500,"SP(2.0)"
"46",-5.07862120496846,-5.07305977394536,7000,"SP(2.0)"
"47",-5.12552127498409,-5.11242753052788,7500,"SP(2.0)"
"48",-5.14698532878765,-5.14925360741932,8000,"SP(2.0)"
"49",-5.18969493907486,-5.18384638929865,8500,"SP(2.0)"
"50",-5.19827339854171,-5.21646133159917,9000,"SP(2.0)"
"51",-5.24496034974186,-5.2473124204173,9500,"SP(2.0)"
"52",-5.27578596705659,-5.2765806895043,10000,"SP(2.0)"
"53",-4.18557382314424,-4.20115295190566,4000,"SP(3.0)"
"54",-4.25108390904929,-4.25003422401328,4500,"SP(3.0)"
"55",-4.30054904144327,-4.29376001191277,5000,"SP(3.0)"
"56",-4.34253233687953,-4.33331479845464,5500,"SP(3.0)"
"57",-4.36454726677774,-4.36942548936515,6000,"SP(3.0)"
"58",-4.42135268533769,-4.40264410486624,6500,"SP(3.0)"
"59",-4.42966965951619,-4.43339973900322,7000,"SP(3.0)"
"60",-4.46271618578999,-4.46203254937226,7500,"SP(3.0)"
"61",-4.48968740872768,-4.48881675471702,8000,"SP(3.0)"
"62",-4.52502159403614,-4.51397664823578,8500,"SP(3.0)"
"63",-4.50798683228743,-4.53769802682464,9000,"SP(3.0)"
"64",-4.55873051161615,-4.56013652605576,9500,"SP(3.0)"
"65",-4.5883643848452,-4.58142381472413,10000,"SP(3.0)"
"66",-4.88633169706915,-4.89354509530116,4000,"Rand(1.5)"
"67",-4.96446822762638,-4.96623148615678,4500,"Rand(1.5)"
"68",-5.03193144800864,-5.03125167840413,5000,"Rand(1.5)"
"69",-5.09407407351277,-5.09006959681802,5500,"Rand(1.5)"
"70",-5.13688132739309,-5.14376614930971,6000,"Rand(1.5)"
"71",-5.19675471883734,-5.19316218926299,6500,"Rand(1.5)"
"72",-5.24841640657543,-5.23889577898977,7000,"Rand(1.5)"
"73",-5.29883314516089,-5.28147273241269,7500,"Rand(1.5)"
"74",-5.32377870533944,-5.32130081246265,8000,"Rand(1.5)"
"75",-5.35499501213764,-5.35871354284667,8500,"Rand(1.5)"
"76",-5.38372237296023,-5.39398720331827,9000,"Rand(1.5)"
